name,metric,4.0,5.0,6.0,7.0
0089_20160701_175557_524,ms_ssim,2.0,2.5,6.0,3.5
0043_20160830_181126_710,mse,4.0,-2.5,-3.0,-3.5
0043_20160830_181126_710,ssim,-2.0,-2.5,6.0,-3.5
0043_20160830_181126_710,ms_ssim,4.0,-2.5,-3.0,-3.5
0132_20161016_151410_501,mse,2.0,5.0,-6.0,7.0
0132_20161016_151410_501,ssim,2.0,5.0,6.0,7.0
0132_20161016_151410_501,ms_ssim,2.0,5.0,-6.0,7.0
0043_20160921_194021_531,mse,-2.0,2.5,-6.0,3.5
0043_20160921_194021_531,ssim,-2.0,2.5,-6.0,-7.0
0043_20160921_194021_531,ms_ssim,4.0,2.5,-6.0,3.5
5a9e_20141006_154035_187,mse,2.0,-5.0,-6.0,-3.5
5a9e_20141006_154035_187,ssim,2.0,-5.0,-6.0,-3.5
5a9e_20141006_154035_187,ms_ssim,-2.0,-5.0,-6.0,-3.5
5a9e_20141008_114426_094,mse,-4.0,5.0,3.0,-7.0
5a9e_20141008_114426_094,ssim,-4.0,2.5,3.0,-7.0
5a9e_20141008_114426_094,ms_ssim,-4.0,-5.0,3.0,3.5
47L8_20150430_163434_188,mse,4.0,5.0,-6.0,3.5
47L8_20150430_163434_188,ssim,4.0,5.0,-6.0,3.5
47L8_20150430_163434_188,ms_ssim,4.0,5.0,-6.0,3.5
5066_20160413_173837_663,mse,-2.0,5.0,3.0,7.0
5066_20160413_173837_663,ssim,-2.0,5.0,3.0,7.0
5066_20160413_173837_663,ms_ssim,4.0,5.0,-3.0,3.5
0009_20160702_164851_020,mse,-2.0,5.0,-6.0,3.5
0009_20160702_164851_020,ssim,4.0,5.0,6.0,7.0
0009_20160702_164851_020,ms_ssim,-4.0,5.0,-3.0,3.5
33TJ_20150612_224335_044,mse,-2.0,-5.0,6.0,3.5
33TJ_20150612_224335_044,ssim,-2.0,2.5,3.0,-7.0
33TJ_20150612_224335_044,ms_ssim,4.0,-5.0,6.0,3.5
0030_20160606_172902_640,mse,4.0,-5.0,6.0,-7.0
0030_20160606_172902_640,ssim,4.0,-5.0,6.0,-7.0
0030_20160606_172902_640,ms_ssim,4.0,-5.0,6.0,-7.0
synthetic_points_hawk_day,mse,-2.0,5.0,-3.0,-3.5
synthetic_points_hawk_day,ssim,4.0,-2.5,-6.0,3.5
synthetic_points_hawk_day,ms_ssim,-4.0,5.0,-3.0,-3.5
33TJ_20150821_175459_986,mse,-2.0,-2.5,-6.0,7.0
33TJ_20150821_175459_986,ssim,2.0,-2.5,-3.0,7.0
33TJ_20150821_175459_986,ms_ssim,-2.0,-2.5,-6.0,7.0
0382_20150924_091714_809,mse,-4.0,-2.5,6.0,3.5
0382_20150924_091714_809,ssim,-4.0,5.0,6.0,3.5
0382_20150924_091714_809,ms_ssim,-4.0,5.0,-3.0,3.5
0030_20151008_091626_890,mse,-2.0,5.0,6.0,-7.0
0030_20151008_091626_890,ssim,4.0,-2.5,-6.0,-3.5
0030_20151008_091626_890,ms_ssim,-4.0,5.0,6.0,-7.0
5a9e_20150403_161113_291,mse,-4.0,2.5,6.0,-7.0
5a9e_20150403_161113_291,ssim,-4.0,2.5,6.0,-7.0
5a9e_20150403_161113_291,ms_ssim,4.0,2.5,6.0,-7.0
0218_20150329_192955_599,mse,4.0,5.0,-3.0,3.5
0218_20150329_192955_599,ssim,2.0,-2.5,-6.0,-3.5
0218_20150329_192955_599,ms_ssim,4.0,5.0,-3.0,3.5
5a9e_20150403_093136_401,mse,-2.0,-5.0,-3.0,-7.0
5a9e_20150403_093136_401,ssim,-2.0,-5.0,-3.0,-7.0
5a9e_20150403_093136_401,ms_ssim,4.0,-5.0,-3.0,7.0
0218_20141102_111848_251,mse,2.0,2.5,3.0,7.0
0218_20141102_111848_251,ssim,2.0,2.5,3.0,7.0
0218_20141102_111848_251,ms_ssim,2.0,2.5,3.0,7.0
0272_20160515_130708_549,mse,4.0,5.0,-3.0,7.0
0272_20160515_130708_549,ssim,2.0,-5.0,-3.0,7.0
0272_20160515_130708_549,ms_ssim,4.0,2.5,-3.0,-3.5
0043_20160923_195823_403,mse,-4.0,-2.5,-6.0,7.0
0043_20160923_195823_403,ssim,-2.0,-2.5,-6.0,7.0
0043_20160923_195823_403,ms_ssim,4.0,-2.5,-6.0,7.0
0919_20150906_194145_478,mse,-2.0,5.0,-3.0,7.0
0919_20150906_194145_478,ssim,2.0,-2.5,-6.0,-7.0
0919_20150906_194145_478,ms_ssim,-4.0,5.0,-3.0,-3.5
33TJ_20150821_175614_670,mse,2.0,2.5,-3.0,3.5
33TJ_20150821_175614_670,ssim,2.0,-5.0,-3.0,3.5
33TJ_20150821_175614_670,ms_ssim,2.0,2.5,-3.0,3.5
33TJ_20150722_231948_210,mse,2.0,5.0,6.0,7.0
33TJ_20150722_231948_210,ssim,-4.0,5.0,-3.0,-3.5
33TJ_20150722_231948_210,ms_ssim,-4.0,5.0,-3.0,-3.5
33TJ_20150729_162902_471,mse,-4.0,-5.0,3.0,-7.0
33TJ_20150729_162902_471,ssim,-4.0,-5.0,3.0,-3.5
33TJ_20150729_162902_471,ms_ssim,-4.0,-5.0,3.0,-3.5
33TJ_20150625_053111_880,mse,2.0,2.5,6.0,3.5
33TJ_20150625_053111_880,ssim,2.0,5.0,-6.0,-3.5
33TJ_20150625_053111_880,ms_ssim,2.0,2.5,-6.0,-3.5
1125_20151224_230434_879,mse,-4.0,-2.5,-6.0,-7.0
1125_20151224_230434_879,ssim,-4.0,2.5,-3.0,-3.5
1125_20151224_230434_879,ms_ssim,-4.0,2.5,-3.0,-3.5
5a9e_20150327_201603_609,mse,4.0,2.5,-3.0,3.5
5a9e_20150327_201603_609,ssim,4.0,5.0,-3.0,-3.5
5a9e_20150327_201603_609,ms_ssim,4.0,5.0,-3.0,-3.5
0043_20161007_091239_554,mse,4.0,-2.5,-6.0,-3.5
0043_20161007_091239_554,ssim,-4.0,-2.5,-3.0,3.5
0043_20161007_091239_554,ms_ssim,4.0,-5.0,-6.0,-3.5
1125_20151231_161803_040,mse,-4.0,5.0,-6.0,-3.5
1125_20151231_161803_040,ssim,-4.0,-2.5,-6.0,-3.5
1125_20151231_161803_040,ms_ssim,-4.0,5.0,-6.0,-3.5
0039_20141008_180549_389,mse,-2.0,-5.0,3.0,-3.5
0039_20141008_180549_389,ssim,-4.0,2.5,6.0,7.0
0039_20141008_180549_389,ms_ssim,-2.0,-5.0,-3.0,-3.5
33TJ_20150812_151948_205,mse,-2.0,5.0,3.0,-7.0
33TJ_20150812_151948_205,ssim,-4.0,-2.5,3.0,-7.0
33TJ_20150812_151948_205,ms_ssim,-2.0,-5.0,-3.0,3.5
0039_20141006_211702_376,mse,-2.0,-2.5,3.0,3.5
0039_20141006_211702_376,ssim,-4.0,-5.0,-3.0,-7.0
0039_20141006_211702_376,ms_ssim,2.0,-2.5,-3.0,-3.5
4KK2_20150822_191746_491,mse,4.0,-2.5,-3.0,3.5
4KK2_20150822_191746_491,ssim,4.0,-2.5,-3.0,3.5
4KK2_20150822_191746_491,ms_ssim,4.0,-2.5,-3.0,3.5
4WBR_20150508_202211_762,mse,2.0,2.5,-6.0,-7.0
4WBR_20150508_202211_762,ssim,4.0,-2.5,6.0,-3.5
4WBR_20150508_202211_762,ms_ssim,4.0,2.5,6.0,3.5
5a9e_20150328_175918_327,mse,-2.0,5.0,3.0,7.0
5a9e_20150328_175918_327,ssim,-2.0,5.0,-3.0,-7.0
5a9e_20150328_175918_327,ms_ssim,-2.0,5.0,3.0,7.0
1125_20151221_104509_344,mse,2.0,2.5,3.0,3.5
1125_20151221_104509_344,ssim,2.0,2.5,-6.0,3.5
1125_20151221_104509_344,ms_ssim,2.0,-2.5,3.0,3.5
0382_20150921_112933_077,mse,-4.0,2.5,3.0,-3.5
0382_20150921_112933_077,ssim,-4.0,2.5,3.0,-3.5
0382_20150921_112933_077,ms_ssim,-4.0,2.5,3.0,-3.5
0039_20141010_103042_196,mse,-4.0,-2.5,-6.0,-3.5
0039_20141010_103042_196,ssim,-4.0,-2.5,-3.0,3.5
0039_20141010_103042_196,ms_ssim,-4.0,-2.5,-3.0,-3.5
0382_20150924_085908_990,mse,-2.0,-2.5,6.0,3.5
0382_20150924_085908_990,ssim,-2.0,-2.5,6.0,3.5
0382_20150924_085908_990,ms_ssim,-2.0,-2.5,6.0,3.5
0043_20161006_120316_630,mse,-4.0,-5.0,3.0,7.0
0043_20161006_120316_630,ssim,-4.0,-5.0,3.0,7.0
0043_20161006_120316_630,ms_ssim,-4.0,-5.0,3.0,7.0
1125_20160403_175104_365,mse,2.0,5.0,6.0,-7.0
1125_20160403_175104_365,ssim,2.0,-2.5,6.0,-7.0
1125_20160403_175104_365,ms_ssim,2.0,5.0,6.0,-7.0
9bf4_20150822_102858_566,mse,-4.0,-2.5,-3.0,3.5
9bf4_20150822_102858_566,ssim,-4.0,-2.5,-3.0,3.5
9bf4_20150822_102858_566,ms_ssim,-2.0,-2.5,6.0,3.5
0009_20160702_114557_029,mse,-2.0,-5.0,-6.0,3.5
0009_20160702_114557_029,ssim,4.0,-5.0,-6.0,3.5
0009_20160702_114557_029,ms_ssim,4.0,-5.0,-6.0,3.5
0006_20160731_155622_094,mse,-4.0,5.0,3.0,-3.5
0006_20160731_155622_094,ssim,4.0,5.0,-3.0,3.5
0006_20160731_155622_094,ms_ssim,-4.0,5.0,3.0,-3.5
0043_20161006_114610_155,mse,-2.0,-2.5,-3.0,-7.0
0043_20161006_114610_155,ssim,-2.0,2.5,-3.0,-3.5
0043_20161006_114610_155,ms_ssim,-2.0,-2.5,-3.0,-7.0
33TJ_20150801_000023_911,mse,2.0,-5.0,3.0,7.0
33TJ_20150801_000023_911,ssim,2.0,-5.0,3.0,7.0
33TJ_20150801_000023_911,ms_ssim,2.0,-5.0,3.0,7.0
1125_20151229_183311_236,mse,2.0,-2.5,6.0,-7.0
1125_20151229_183311_236,ssim,2.0,-5.0,6.0,-7.0
1125_20151229_183311_236,ms_ssim,2.0,5.0,6.0,-3.5
0043_20160920_194235_974,mse,2.0,5.0,-3.0,-7.0
0043_20160920_194235_974,ssim,-4.0,5.0,-3.0,7.0
0043_20160920_194235_974,ms_ssim,-4.0,5.0,-3.0,-7.0
J6VL_20150312_193013_027,mse,-4.0,5.0,3.0,3.5
J6VL_20150312_193013_027,ssim,-4.0,5.0,3.0,3.5
J6VL_20150312_193013_027,ms_ssim,-4.0,5.0,3.0,3.5
1125_20151220_152918_101,mse,4.0,2.5,6.0,3.5
1125_20151220_152918_101,ssim,-2.0,-5.0,-3.0,-7.0
1125_20151220_152918_101,ms_ssim,4.0,2.5,6.0,3.5
5066_20160416_123310_714,mse,-4.0,-2.5,-3.0,-7.0
5066_20160416_123310_714,ssim,-4.0,-2.5,6.0,-3.5
5066_20160416_123310_714,ms_ssim,-4.0,-2.5,-3.0,-3.5
33TJ_20150723_153920_674,mse,2.0,-5.0,6.0,-7.0
33TJ_20150723_153920_674,ssim,-2.0,-5.0,-6.0,3.5
33TJ_20150723_153920_674,ms_ssim,2.0,-5.0,-6.0,3.5
0218_20141031_195419_627,mse,4.0,-2.5,3.0,-7.0
0218_20141031_195419_627,ssim,-4.0,5.0,3.0,3.5
0218_20141031_195419_627,ms_ssim,4.0,-2.5,-3.0,-3.5
1125_20151219_152052_552,mse,4.0,2.5,6.0,-3.5
1125_20151219_152052_552,ssim,4.0,2.5,6.0,-3.5
1125_20151219_152052_552,ms_ssim,4.0,2.5,6.0,-3.5
6G7M_20150418_221014_105,mse,-2.0,5.0,-6.0,-3.5
6G7M_20150418_221014_105,ssim,4.0,5.0,-6.0,-3.5
6G7M_20150418_221014_105,ms_ssim,2.0,5.0,-6.0,-3.5
9bf4_20150818_174036_006,mse,4.0,-2.5,-3.0,-3.5
9bf4_20150818_174036_006,ssim,4.0,-2.5,-3.0,-3.5
9bf4_20150818_174036_006,ms_ssim,4.0,-2.5,-3.0,3.5
1125_20151229_143431_981,mse,4.0,-2.5,-3.0,-3.5
1125_20151229_143431_981,ssim,-2.0,-2.5,6.0,7.0
1125_20151229_143431_981,ms_ssim,4.0,-2.5,-3.0,3.5
1125_20151220_162111_037,mse,4.0,-2.5,6.0,7.0
1125_20151220_162111_037,ssim,4.0,-2.5,6.0,7.0
1125_20151220_162111_037,ms_ssim,2.0,-5.0,6.0,-7.0
0058_20160714_205939_444,mse,-4.0,-2.5,-6.0,-7.0
0058_20160714_205939_444,ssim,-4.0,5.0,6.0,-3.5
0058_20160714_205939_444,ms_ssim,-4.0,5.0,6.0,-3.5
5a9e_20141010_180937_237,mse,2.0,-5.0,3.0,7.0
5a9e_20141010_180937_237,ssim,-2.0,2.5,6.0,7.0
5a9e_20141010_180937_237,ms_ssim,2.0,-5.0,3.0,7.0
JN34_20150327_203236_994,mse,2.0,-2.5,6.0,-3.5
JN34_20150327_203236_994,ssim,-4.0,5.0,-3.0,-3.5
JN34_20150327_203236_994,ms_ssim,-4.0,5.0,-3.0,-3.5
0382_20150919_132202_735,mse,-4.0,5.0,6.0,-7.0
0382_20150919_132202_735,ssim,-2.0,2.5,6.0,-7.0
0382_20150919_132202_735,ms_ssim,-4.0,5.0,3.0,-3.5
bee7_20150829_170455_997,mse,2.0,5.0,3.0,3.5
bee7_20150829_170455_997,ssim,2.0,2.5,6.0,-3.5
bee7_20150829_170455_997,ms_ssim,4.0,5.0,-3.0,3.5
0155_20160904_091143_801,mse,2.0,2.5,-3.0,-3.5
0155_20160904_091143_801,ssim,2.0,-2.5,-3.0,-3.5
0155_20160904_091143_801,ms_ssim,2.0,2.5,-3.0,7.0
0919_20150906_192307_463,mse,-4.0,5.0,-3.0,3.5
0919_20150906_192307_463,ssim,-2.0,2.5,6.0,-3.5
0919_20150906_192307_463,ms_ssim,-4.0,5.0,-3.0,7.0
1125_20160318_125225_211,mse,4.0,2.5,-6.0,3.5
1125_20160318_125225_211,ssim,4.0,-2.5,-6.0,3.5
1125_20160318_125225_211,ms_ssim,4.0,2.5,-6.0,3.5
5a9e_20141006_160913_275,mse,4.0,-5.0,-3.0,7.0
5a9e_20141006_160913_275,ssim,4.0,-5.0,6.0,7.0
5a9e_20141006_160913_275,ms_ssim,4.0,-2.5,6.0,-7.0
4WBR_20150502_134646_149,mse,2.0,5.0,-6.0,-3.5
4WBR_20150502_134646_149,ssim,4.0,2.5,-3.0,3.5
4WBR_20150502_134646_149,ms_ssim,2.0,5.0,-6.0,-3.5
0030_20151213_163452_377,mse,-2.0,5.0,-6.0,-3.5
0030_20151213_163452_377,ssim,2.0,-5.0,3.0,7.0
0030_20151213_163452_377,ms_ssim,-2.0,-2.5,-6.0,-3.5
6G7M_20150403_202341_352,mse,-2.0,-5.0,3.0,-7.0
6G7M_20150403_202341_352,ssim,-2.0,5.0,3.0,-7.0
6G7M_20150403_202341_352,ms_ssim,-2.0,-5.0,3.0,-7.0
0919_20150907_115328_337,mse,4.0,-2.5,-6.0,7.0
0919_20150907_115328_337,ssim,4.0,2.5,-6.0,-3.5
0919_20150907_115328_337,ms_ssim,4.0,-2.5,-6.0,7.0
0043_20161007_155849_437,mse,-2.0,5.0,-6.0,-7.0
0043_20161007_155849_437,ssim,-2.0,5.0,-6.0,7.0
0043_20161007_155849_437,ms_ssim,-2.0,5.0,-6.0,-7.0
1125_20151222_131736_361,mse,4.0,5.0,6.0,-7.0
1125_20151222_131736_361,ssim,2.0,5.0,6.0,-7.0
1125_20151222_131736_361,ms_ssim,4.0,5.0,6.0,7.0
0043_20160829_151227_751,mse,2.0,2.5,6.0,7.0
0043_20160829_151227_751,ssim,-4.0,2.5,-6.0,3.5
0043_20160829_151227_751,ms_ssim,2.0,-2.5,6.0,-7.0
0043_20160917_162724_770,mse,-4.0,-5.0,-6.0,-7.0
0043_20160917_162724_770,ssim,-4.0,-5.0,-3.0,7.0
0043_20160917_162724_770,ms_ssim,-4.0,-5.0,-6.0,-7.0
4KK2_20150910_142428_551,mse,-4.0,-5.0,3.0,-3.5
4KK2_20150910_142428_551,ssim,4.0,5.0,-3.0,-3.5
4KK2_20150910_142428_551,ms_ssim,-4.0,5.0,6.0,-3.5
0043_20161004_205807_357,mse,-2.0,2.5,-6.0,3.5
0043_20161004_205807_357,ssim,4.0,-5.0,-6.0,3.5
0043_20161004_205807_357,ms_ssim,-2.0,2.5,-6.0,3.5
0094_20150412_162731_742,mse,4.0,-2.5,-6.0,3.5
0094_20150412_162731_742,ssim,4.0,5.0,-6.0,3.5
0094_20150412_162731_742,ms_ssim,4.0,-2.5,-6.0,-7.0
4WBR_20150524_122906_585,mse,-4.0,2.5,-6.0,7.0
4WBR_20150524_122906_585,ssim,-4.0,5.0,-3.0,7.0
4WBR_20150524_122906_585,ms_ssim,4.0,-5.0,6.0,-3.5
33TJ_20150820_162849_707,mse,4.0,5.0,6.0,3.5
33TJ_20150820_162849_707,ssim,-2.0,-2.5,6.0,-3.5
33TJ_20150820_162849_707,ms_ssim,2.0,-5.0,-3.0,3.5
0043_20161007_091554_208,mse,4.0,-5.0,-3.0,3.5
0043_20161007_091554_208,ssim,-4.0,5.0,3.0,-7.0
0043_20161007_091554_208,ms_ssim,4.0,-5.0,6.0,3.5
6G7M_20150328_183029_897,mse,-2.0,-2.5,-3.0,7.0
6G7M_20150328_183029_897,ssim,-2.0,-2.5,-3.0,3.5
6G7M_20150328_183029_897,ms_ssim,-2.0,-2.5,-3.0,3.5
0382_20150920_125916_122,mse,-2.0,5.0,3.0,-7.0
0382_20150920_125916_122,ssim,4.0,2.5,3.0,3.5
0382_20150920_125916_122,ms_ssim,-2.0,5.0,-6.0,-7.0
33TJ_20150811_102546_517,mse,-4.0,-2.5,-3.0,3.5
33TJ_20150811_102546_517,ssim,-4.0,2.5,3.0,3.5
33TJ_20150811_102546_517,ms_ssim,2.0,-5.0,-6.0,-3.5
c1b1_20150311_204258_018,mse,4.0,-5.0,-6.0,3.5
c1b1_20150311_204258_018,ssim,-2.0,5.0,-6.0,3.5
c1b1_20150311_204258_018,ms_ssim,4.0,5.0,-6.0,3.5
0039_20141007_192122_541,mse,-2.0,2.5,-3.0,-3.5
0039_20141007_192122_541,ssim,4.0,-5.0,-3.0,-3.5
0039_20141007_192122_541,ms_ssim,4.0,-5.0,-3.0,-3.5
0039_20141006_105601_560,mse,2.0,-5.0,3.0,-7.0
0039_20141006_105601_560,ssim,2.0,-5.0,3.0,-7.0
0039_20141006_105601_560,ms_ssim,2.0,-5.0,3.0,-7.0
0155_20160904_140538_128,mse,4.0,2.5,6.0,3.5
0155_20160904_140538_128,ssim,4.0,2.5,6.0,3.5
0155_20160904_140538_128,ms_ssim,4.0,2.5,6.0,3.5
0543_20150919_145734_887,mse,4.0,-2.5,-6.0,3.5
0543_20150919_145734_887,ssim,2.0,-2.5,-3.0,3.5
0543_20150919_145734_887,ms_ssim,4.0,2.5,-6.0,3.5
4W8F_20150424_204100_383,mse,-4.0,2.5,-6.0,7.0
4W8F_20150424_204100_383,ssim,4.0,-2.5,-3.0,-3.5
4W8F_20150424_204100_383,ms_ssim,-4.0,-2.5,-6.0,-3.5
5a9e_20150328_170812_096,mse,4.0,-2.5,6.0,-7.0
5a9e_20150328_170812_096,ssim,4.0,-2.5,-3.0,-3.5
5a9e_20150328_170812_096,ms_ssim,-4.0,-2.5,6.0,-7.0
0382_20150919_113317_542,mse,2.0,2.5,6.0,3.5
0382_20150919_113317_542,ssim,2.0,2.5,-6.0,-3.5
0382_20150919_113317_542,ms_ssim,-2.0,5.0,3.0,3.5
9bf4_20150822_224442_767,mse,-4.0,5.0,-6.0,3.5
9bf4_20150822_224442_767,ssim,4.0,5.0,-3.0,3.5
9bf4_20150822_224442_767,ms_ssim,4.0,5.0,-3.0,3.5
0218_20141031_194159_577,mse,2.0,5.0,6.0,3.5
0218_20141031_194159_577,ssim,4.0,-5.0,6.0,-3.5
0218_20141031_194159_577,ms_ssim,2.0,5.0,3.0,3.5
6G7M_20150321_131546_612,mse,-2.0,2.5,6.0,-3.5
6G7M_20150321_131546_612,ssim,-4.0,2.5,6.0,-7.0
6G7M_20150321_131546_612,ms_ssim,-4.0,-2.5,6.0,-7.0
6G7M_20150403_165447_317,mse,4.0,5.0,6.0,-3.5
6G7M_20150403_165447_317,ssim,2.0,2.5,-3.0,-7.0
6G7M_20150403_165447_317,ms_ssim,4.0,5.0,6.0,-3.5
4KK2_20150817_233633_191,mse,-2.0,2.5,6.0,3.5
4KK2_20150817_233633_191,ssim,-2.0,2.5,-3.0,3.5
4KK2_20150817_233633_191,ms_ssim,-2.0,2.5,6.0,3.5
1125_20160317_163426_509,mse,-4.0,2.5,-6.0,3.5
1125_20160317_163426_509,ssim,-4.0,-5.0,-3.0,3.5
1125_20160317_163426_509,ms_ssim,-4.0,-5.0,-3.0,3.5
0094_20150412_180524_167,mse,-2.0,-2.5,-3.0,-3.5
0094_20150412_180524_167,ssim,-4.0,-2.5,-3.0,-3.5
0094_20150412_180524_167,ms_ssim,-4.0,-2.5,-3.0,-3.5
0006_20160723_111834_202,mse,-2.0,5.0,6.0,7.0
0006_20160723_111834_202,ssim,-2.0,5.0,3.0,-7.0
0006_20160723_111834_202,ms_ssim,-2.0,5.0,6.0,-7.0
4WBR_20150524_140329_777,mse,4.0,-2.5,-6.0,-3.5
4WBR_20150524_140329_777,ssim,-2.0,-2.5,-3.0,3.5
4WBR_20150524_140329_777,ms_ssim,4.0,-5.0,-6.0,-3.5
0043_20160829_185551_456,mse,-4.0,-5.0,-3.0,7.0
0043_20160829_185551_456,ssim,-2.0,5.0,-3.0,7.0
0043_20160829_185551_456,ms_ssim,-4.0,-5.0,-3.0,7.0
0030_20151006_135703_479,mse,-2.0,-2.5,3.0,-3.5
0030_20151006_135703_479,ssim,-2.0,2.5,-3.0,-3.5
0030_20151006_135703_479,ms_ssim,2.0,-2.5,3.0,3.5
0155_20160927_140510_618,mse,4.0,-2.5,6.0,-3.5
0155_20160927_140510_618,ssim,4.0,-2.5,6.0,-3.5
0155_20160927_140510_618,ms_ssim,4.0,-2.5,6.0,-3.5
0043_20160917_173204_709,mse,-4.0,-2.5,3.0,-7.0
0043_20160917_173204_709,ssim,-4.0,-2.5,-3.0,7.0
0043_20160917_173204_709,ms_ssim,-4.0,-5.0,-3.0,-3.5
6G7M_20150325_104617_962,mse,-2.0,2.5,3.0,-3.5
6G7M_20150325_104617_962,ssim,4.0,2.5,-6.0,-3.5
6G7M_20150325_104617_962,ms_ssim,-2.0,-5.0,-3.0,-3.5
c483_20150901_110644_015,mse,-2.0,-2.5,6.0,-7.0
c483_20150901_110644_015,ssim,4.0,5.0,6.0,7.0
c483_20150901_110644_015,ms_ssim,-2.0,-2.5,6.0,-7.0
0043_20160826_121158_631,mse,4.0,2.5,-6.0,-3.5
0043_20160826_121158_631,ssim,4.0,-5.0,-6.0,-3.5
0043_20160826_121158_631,ms_ssim,4.0,2.5,-3.0,3.5
6G7M_20150321_125334_875,mse,-4.0,-5.0,3.0,-7.0
6G7M_20150321_125334_875,ssim,-4.0,-5.0,3.0,-7.0
6G7M_20150321_125334_875,ms_ssim,-4.0,-5.0,3.0,-7.0
0043_20160919_142207_059,mse,2.0,2.5,3.0,7.0
0043_20160919_142207_059,ssim,-2.0,2.5,-3.0,7.0
0043_20160919_142207_059,ms_ssim,2.0,2.5,3.0,7.0
0272_20151216_001142_863,mse,-2.0,2.5,3.0,-7.0
0272_20151216_001142_863,ssim,-4.0,5.0,6.0,-3.5
0272_20151216_001142_863,ms_ssim,-4.0,2.5,6.0,-3.5
0543_20150918_201504_831,mse,-2.0,5.0,-6.0,-3.5
0543_20150918_201504_831,ssim,-2.0,5.0,-6.0,3.5
0543_20150918_201504_831,ms_ssim,-2.0,5.0,-6.0,3.5
0919_20150910_145440_928,mse,-4.0,-5.0,3.0,-7.0
0919_20150910_145440_928,ssim,4.0,-5.0,-3.0,-7.0
0919_20150910_145440_928,ms_ssim,-4.0,-5.0,-6.0,-7.0
0543_20150917_155231_357,mse,2.0,-5.0,3.0,7.0
0543_20150917_155231_357,ssim,-2.0,-2.5,-6.0,-3.5
0543_20150917_155231_357,ms_ssim,2.0,-5.0,3.0,7.0
0919_20150909_142707_059,mse,4.0,-5.0,3.0,-3.5
0919_20150909_142707_059,ssim,4.0,2.5,3.0,-3.5
0919_20150909_142707_059,ms_ssim,2.0,-5.0,3.0,-3.5
5066_20160504_181920_148,mse,-2.0,-2.5,3.0,7.0
5066_20160504_181920_148,ssim,-2.0,-2.5,3.0,7.0
5066_20160504_181920_148,ms_ssim,4.0,2.5,-3.0,-7.0
c483_20150901_105412_265,mse,2.0,2.5,-3.0,-7.0
c483_20150901_105412_265,ssim,2.0,2.5,-3.0,-7.0
c483_20150901_105412_265,ms_ssim,2.0,2.5,-3.0,-7.0
1125_20160312_163101_910,mse,-4.0,-2.5,-3.0,3.5
1125_20160312_163101_910,ssim,-4.0,-2.5,-3.0,3.5
1125_20160312_163101_910,ms_ssim,-4.0,-2.5,-3.0,3.5
0919_20150910_143325_345,mse,-4.0,5.0,3.0,7.0
